1,80,minivan,electric,automatic,6
2,719,pickup,electric,automatic,2
3,243,van,diesel,automatic,6
4,658,minivan,gasoline,automatic,3
5,860,SUV,gasoline,automatic,6
6,670,SUV,gasoline,automatic,6
7,689,van,electric,automatic,6
8,228,minivan,electric,mechanical,4
9,904,sedan,gasoline,mechanical,4
10,625,van,electric,mechanical,3
11,968,van,diesel,mechanical,5
12,794,pickup,gasoline,automatic,2
13,657,cabriolet,electric,automatic,3
14,796,cabriolet,diesel,mechanical,6
15,355,cabriolet,electric,automatic,2
16,992,minivan,diesel,mechanical,2
17,575,minivan,electric,mechanical,5
18,310,SUV,gasoline,mechanical,5
19,377,cabriolet,diesel,mechanical,4
20,618,van,diesel,automatic,3
21,513,minivan,electric,mechanical,5
22,901,SUV,gasoline,automatic,5
23,809,pickup,electric,mechanical,5
24,992,minivan,gasoline,mechanical,3
25,748,pickup,diesel,automatic,5
26,355,minivan,electric,automatic,4
27,209,pickup,electric,mechanical,6
28,856,minivan,diesel,mechanical,5
29,232,cabriolet,diesel,automatic,6
30,720,SUV,gasoline,mechanical,5
31,38,pickup,diesel,automatic,4
32,977,pickup,diesel,automatic,2
33,294,cabriolet,gasoline,mechanical,4
34,255,pickup,electric,mechanical,4
35,219,minivan,gasoline,mechanical,2
36,731,cabriolet,electric,automatic,4
37,568,pickup,gasoline,mechanical,6
38,176,SUV,diesel,mechanical,2
39,106,van,diesel,mechanical,6
40,552,sedan,gasoline,automatic,6
41,514,minivan,gasoline,mechanical,3
42,287,sedan,gasoline,automatic,5
43,386,sedan,electric,mechanical,6
44,465,sedan,gasoline,mechanical,3
45,44,sedan,electric,mechanical,3
46,342,van,diesel,mechanical,4
47,675,minivan,gasoline,mechanical,2
48,650,pickup,diesel,automatic,3
49,841,cabriolet,diesel,mechanical,5
50,77,cabriolet,electric,mechanical,3
51,187,sedan,gasoline,automatic,3
52,581,cabriolet,diesel,mechanical,5
53,959,cabriolet,gasoline,mechanical,6
54,445,pickup,electric,mechanical,6
55,315,SUV,electric,mechanical,3
56,905,cabriolet,diesel,automatic,4
57,154,sedan,diesel,mechanical,3
58,854,cabriolet,gasoline,automatic,5
59,390,minivan,electric,automatic,2
60,945,van,electric,automatic,6
61,226,pickup,electric,mechanical,6
62,871,minivan,diesel,mechanical,2
63,454,sedan,gasoline,automatic,6
64,72,cabriolet,gasoline,mechanical,2
65,562,minivan,diesel,automatic,6
66,883,sedan,diesel,mechanical,6
67,163,sedan,diesel,automatic,2
